firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Акылбек Шакирович","Султанов","В командировке","Германия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Каныбек Капашович","Иманалиев","В командировке","Франция","22-23.04.2015г.","Ф.Кулову","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Бахадыр Искакович","Сулейманов","В командировке","Франция","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Анарбек Баратович","Калматов","В командировке","Франция","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Жоомарт Рахатович","Сапарбаев","В командировке","Индонезия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Нурбек Мурпазылжанович","Мурашев","В командировке","Жалал-Абадская   обл.","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Эсенгул Байдалиевич","Исаков","В связи с семейными обстоятельствами",,"22-23.04.2015г.","&nbsp;","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Ыргал Кармышаковна","Кадыралиева","По состоянию здоровья",,"22-23.04.2015г.","Ч.Турсунбекову","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Ахматбек Келдибекович","Келдибеков","По уважительной причине",,"22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Роза Корчубековна","Акназарова","В командировке","г.Ашхабад","15.04.2015г.","М.Сабирову","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
